Single,Rank,Name,Team,Votes
3,11,宮澤佐江,K,33500
3,12,高城亜樹,A,31009
3,13,北原里英,B,27957
3,14,松井珠理奈,S,27804
3,15,峯岸みなみ,K,26070
3,16,河西智美,B,22857
3,17,秋元才加,K,17154
3,18,佐藤亜美菜,B,16574
3,19,横山由依,K,16455
3,20,増田有華,B,14137
3,21,倉持明日香,A,12387
3,22,梅田彩佳,K,11860
3,23,高柳明音,KII,11674
3,24,仲川遥香,A,10854
3,25,多田愛佳,A,9910
3,26,平嶋夏海,B,9742
3,27,宮崎美穂,B,9271
3,28,山本彩,N,8697
3,29,大家志津香,A,7264
3,30,大矢真那,S,6660
3,31,仁藤萌乃,K,6288
3,32,小森美果,B,6120
3,33,秦佐和子,KII,6117
3,34,佐藤すみれ,B,5438
3,35,大場美奈,4,5411
3,36,須田亜香里,S,5343
3,37,前田亜美,A,5220
3,38,松井咲子,K,5020
3,39,市川美織,4,4928
3,40,藤江れいな,K,4698
4,1,大島優子,K,108837
4,2,渡辺麻友,B,72574
4,3,柏木由紀,B,71076
4,4,指原莉乃,A,67339
4,5,篠田麻里子,A,67017
4,6,高橋みなみ,A,65480
4,7,小嶋陽菜,A,54483
4,8,板野友美,K,50483
4,9,松井珠理奈,SK,45747
4,10,松井玲奈,S,42030
4,11,宮澤佐江,K,40261
4,12,河西智美,B,27005
4,13,北原里英,B,26531
4,14,峯岸みなみ,K,26038
4,15,横山由依,K,25541
4,16,梅田彩佳,K,24522
4,17,高城亜樹,A,23083
4,18,山本彩,N,23020
4,19,渡辺美優紀,NB,19159
4,20,秋元才加,K,19121
4,21,佐藤亜美菜,B,17009
4,22,倉持明日香,A,14852
4,23,島崎遥香,4,14633
4,24,高柳明音,KII,14111
4,25,秦佐和子,KII,13920
4,26,増田有華,B,13166
4,27,大矢真那,S,12142
4,28,矢神久美,S,11712
4,29,須田亜香里,S,11323
4,30,古川愛李,KII,11179
4,31,木﨑ゆりあ,S,10554
4,32,小木曽汐莉,KII,9596
4,33,岩佐美咲,A,9297
4,34,松村香織,kenkyuusei,9030
4,35,向田茉夏,KII,8552
4,36,仲谷明香,A,8505
4,37,中田ちさと,A,8315
4,38,宮崎美穂,B,8173
4,39,永尾まりや,4,7809
4,40,藤江れいな,K,7782
4,41,小林香菜,B,7195
4,42,前田亜美,A,7168
4,43,福本愛菜,N,6912
4,44,仲川遥香,A,6890
4,45,田野優花,4,6694
4,46,山田菜々,N,6683
4,47,宮脇咲良,H,6635
4,48,片山陽加,A,6602
4,49,武藤十夢,kenkyuusei,6428
4,50,石田晴香,B,6333
4,51,菊地あやか,K,6185
4,52,多田愛佳,A,6140
4,53,松井咲子,K,6058
4,54,山内鈴蘭,4,6027
4,55,仁藤萌乃,K,6025
4,56,木本花音,E,5982
4,57,大場美奈,4,5969
4,58,市川美織,4,5963
4,59,大家志津香,A,5933
4,60,小笠原茉由,N,5919
4,61,佐藤すみれ,B,5706
4,62,矢方美紀,KII,5606
4,63,中西優香,S,5592
4,64,小森美果,B,5398
5,1,指原莉乃,H,150570
5,2,大島優子,K,136503
5,3,渡辺麻友,A,101210
5,4,柏木由紀,B,96905
5,5,篠田麻里子,A,92599
5,6,松井珠理奈,SK,77170
5,7,松井玲奈,E,73173
5,8,高橋みなみ,A,68681
5,9,小嶋陽菜,B,67424
5,10,宮澤佐江,K,65867
5,11,板野友美,K,63547
5,12,島崎遥香,B,57275
5,13,横山由依,A,53903
5,14,山本彩,N,51793
5,15,渡辺美優紀,NB,44116
5,16,須田亜香里,KII,43252
5,17,柴田阿弥,KII,39739
5,18,峯岸みなみ,kenkyuusei,38985
5,19,梅田彩佳,B,36282
5,20,高城亜樹,B,33129
5,21,北原里英,K,33121
5,22,木﨑ゆりあ,S,30307
5,23,高柳明音,KII,29199
5,24,松村香織,E,27566
5,25,川栄李奈,A,26764
5,26,宮脇咲良,H,25760
5,27,古川愛李,KII,24990
5,28,山田菜々,M,23950
5,29,大矢真那,S,23588
5,30,入山杏奈,A,22869
5,31,木本花音,E,21385
5,32,藤江れいな,B,21324
5,33,佐藤亜美菜,K,19569
5,34,片山陽加,B,19158
5,35,永尾まりや,K,18978
5,36,倉持明日香,K,18435
5,37,兒玉遥,H,18145
5,38,田野優花,A,18125
5,39,梅本まどか,E,17819
5,40,上西恵,N,17381
5,41,松本梨奈,KII,16715
5,42,斉藤真木子,S,16508
5,43,多田愛佳,H,16401
5,44,矢倉楓子,M,16281
5,45,武藤十夢,K,16221
5,46,石田晴香,B,16072
5,47,小林亜実,E,15533
5,48,大場美奈,KII,15064
5,49,薮下柊,BII,14745
5,50,吉田朱里,N,14684
5,51,菊地あやか,A,13944
5,52,佐藤すみれ,A,13692
5,53,前田亜美,K,13613
5,54,小笠原茉由,N,13422
5,55,田島芽瑠,kenkyuusei,13246
5,56,岩佐美咲,B,12638
5,57,市川美織,B/N,12616
5,58,磯原杏華,S,12319
5,59,朝長美桜,kenkyuusei,12126
5,60,松井咲子,A,11961
5,61,山内鈴蘭,B,11888
5,62,平嶋夏海,B,11806
5,63,金子栞,E,11620
5,64,中西優香,S,11602
